run,sorting_function,time_taken
10,partition_sort,0.010999679565429688
11,qs1,0.020999670028686523
11,qs2,0.02400040626525879
11,qs3,0.025000810623168945
11,qs4,0.022999048233032227
11,qs5,0.023000478744506836
11,merge1,0.02500009536743164
11,partition_sort,0.012000322341918945
12,qs1,0.016999244689941406
12,qs2,0.023999929428100586
12,qs3,0.025040149688720703
12,qs4,0.024959802627563477
12,qs5,0.023000478744506836
12,merge1,0.024999618530273438
12,partition_sort,0.012000322341918945
13,qs1,0.015999317169189453
13,qs2,0.02499985694885254
13,qs3,0.023999929428100586
13,qs4,0.024000167846679688
13,qs5,0.021999835968017578
13,merge1,0.026000022888183594
13,partition_sort,0.010999679565429688
14,qs1,0.017000675201416016
14,qs2,0.023999691009521484
14,qs3,0.023999929428100586
14,qs4,0.0260007381439209
14,qs5,0.021998882293701172
14,merge1,0.02400064468383789
14,partition_sort,0.011999368667602539
15,qs1,0.01699972152709961
15,qs2,0.023999929428100586
15,qs3,0.02503371238708496
15,qs4,0.030966520309448242
15,qs5,0.022000789642333984
15,merge1,0.024998903274536133
15,partition_sort,0.012000083923339844
16,qs1,0.017000198364257812
16,qs2,0.0240323543548584
16,qs3,0.023967266082763672
16,qs4,0.025001049041748047
16,qs5,0.022999048233032227
16,merge1,0.024999618530273438
16,partition_sort,0.012000322341918945
17,qs1,0.01699972152709961
17,qs2,0.023999929428100586
17,qs3,0.02500009536743164
17,qs4,0.02499985694885254
17,qs5,0.023000240325927734
17,merge1,0.025000572204589844
17,partition_sort,0.011998653411865234
18,qs1,0.017000436782836914
18,qs2,0.023000001907348633
18,qs3,0.02499985694885254
18,qs4,0.02400040626525879
18,qs5,0.021999120712280273
18,merge1,0.025000333786010742
18,partition_sort,0.011999845504760742
19,qs1,0.017000198364257812
19,qs2,0.024042606353759766
19,qs3,0.02495718002319336
19,qs4,0.024000167846679688
19,qs5,0.023000001907348633
19,merge1,0.02499985694885254
19,partition_sort,0.012000322341918945
20,qs1,0.016039609909057617
20,qs2,0.023959875106811523
20,qs3,0.023999452590942383
20,qs4,0.02400064468383789
20,qs5,0.02299976348876953
20,merge1,0.025036334991455078
20,partition_sort,0.011963844299316406
21,qs1,0.01699972152709961
21,qs2,0.024999380111694336
21,qs3,0.02400040626525879
21,qs4,0.02500009536743164
21,qs5,0.02300095558166504
21,merge1,0.024999141693115234
21,partition_sort,0.011999845504760742
22,qs1,0.01600027084350586
22,qs2,0.025000572204589844
22,qs3,0.02399897575378418
22,qs4,0.024999618530273438
22,qs5,0.023000478744506836
22,merge1,0.024999618530273438
22,partition_sort,0.01200103759765625
23,qs1,0.016999244689941406
23,qs2,0.02599954605102539
23,qs3,0.023999452590942383
23,qs4,0.025000572204589844
23,qs5,0.023000001907348633
23,merge1,0.025000810623168945
23,partition_sort,0.01103973388671875
24,qs1,0.015961170196533203
24,qs2,0.024999618530273438
24,qs3,0.025000810623168945
24,qs4,0.023999929428100586
24,qs5,0.02299976348876953
24,merge1,0.02499985694885254
24,partition_sort,0.010999917984008789
25,qs1,0.017000436782836914
25,qs2,0.023999691009521484
25,qs3,0.02500009536743164
25,qs4,0.02400064468383789
25,qs5,0.022999048233032227
25,merge1,0.02500009536743164
25,partition_sort,0.012000560760498047
26,qs1,0.017037153244018555
26,qs2,0.023962020874023438
26,qs3,0.02400040626525879
26,qs4,0.023999691009521484
26,qs5,0.02299976348876953
26,merge1,0.0260009765625
26,partition_sort,0.011998891830444336
27,qs1,0.016000032424926758
27,qs2,0.023999929428100586
27,qs3,0.023999929428100586
27,qs4,0.02500009536743164
27,qs5,0.023000001907348633
27,merge1,0.02500009536743164
27,partition_sort,0.011999845504760742
28,qs1,0.01600027084350586
28,qs2,0.024999618530273438
28,qs3,0.023999691009521484
28,qs4,0.025000572204589844
28,qs5,0.023999452590942383
28,merge1,0.024999618530273438
28,partition_sort,0.012000322341918945
29,qs1,0.016000032424926758
29,qs2,0.02499985694885254
29,qs3,0.026037216186523438
29,qs4,0.023962736129760742
29,qs5,0.023000001907348633
29,merge1,0.024999618530273438
29,partition_sort,0.012034893035888672
30,qs1,0.01596546173095703
30,qs2,0.024999380111694336
30,qs3,0.023034095764160156
30,qs4,0.02496647834777832
30,qs5,0.023000001907348633
30,merge1,0.02500009536743164
30,partition_sort,0.01199960708618164
31,qs1,0.01600050926208496
31,qs2,0.024999618530273438
31,qs3,0.02400040626525879
31,qs4,0.026000022888183594
31,qs5,0.02299952507019043
31,merge1,0.025000810623168945
31,partition_sort,0.010999202728271484
32,qs1,0.018000125885009766
32,qs2,0.02499985694885254
32,qs3,0.025035858154296875
32,qs4,0.026000022888183594
32,qs5,0.02196359634399414
32,merge1,0.02500009536743164
32,partition_sort,0.011999845504760742
33,qs1,0.016000032424926758
33,qs2,0.02503347396850586
33,qs3,0.02496647834777832
33,qs4,0.026999711990356445
33,qs5,0.02200007438659668
33,merge1,0.025000333786010742
33,partition_sort,0.01199960708618164
34,qs1,0.01700115203857422
34,qs2,0.02399897575378418
34,qs3,0.023999929428100586
34,qs4,0.026032686233520508
34,qs5,0.021967411041259766
34,merge1,0.025000333786010742
34,partition_sort,0.011999845504760742
35,qs1,0.016999483108520508
35,qs2,0.024000167846679688
35,qs3,0.02401113510131836
35,qs4,0.024988889694213867
35,qs5,0.023000240325927734
35,merge1,0.026999473571777344
35,partition_sort,0.012000083923339844
36,qs1,0.01711869239807129
36,qs2,0.023881196975708008
